Date,Minimum Variance Portfolio (Fully Invested),Minimum Variance Portfolio (Long-Only),Inverse-Volatility Portfolio
1995-01-01,1.4194723362271693,3.447990480435587,1.7168359130363764
1995-02-01,2.9277806883495483,2.488831186500838,3.994200228643435
1995-03-01,1.793946157675418,2.1162253892328935,3.0514582380741753
1995-04-01,1.2487836388345097,2.700027391169751,1.6341964733283134
1995-05-01,4.690549456402107,3.758087700320239,2.700976983927985
1995-06-01,2.525448054406219,2.43990835063592,2.991769996630109
1995-07-01,1.455061385295402,2.0222018306931964,4.070877498696405
1995-08-01,-1.0777092937903259,1.330961588797435,0.8487928981355646
1995-09-01,4.0696331903644305,5.801724329734638,2.7600649637219608
1995-10-01,0.052272676696562374,-0.33471305070135593,-2.004462268903744
1995-11-01,1.2283355745815643,4.076731134399965,4.888251397702274
1995-12-01,0.7163095039905478,3.6132715928660626,1.6179764392725196
1996-01-01,2.273235886285119,3.08750727358369,2.440116028875673
1996-02-01,0.4728307927656988,1.1537816053890442,2.081831313111465
1996-03-01,-1.5059861765884452,0.7515636633936351,2.02627980467748
1996-04-01,2.7232731289409995,1.1511214275586519,2.4516347325493233
1996-05-01,1.2466082617291747,2.4440366119566472,3.0117209825851163
1996-06-01,0.8130442530185932,0.8217168888298956,-0.5608044349288235
1996-07-01,-7.450147180490712,-5.543044439199389,-5.630715407409974
1996-08-01,2.662696339006581,2.942043926183857,3.38241532366989
1996-09-01,4.247461589882433,4.809288061054591,4.790883113298357
1996-10-01,0.5333475529334034,1.0550610258076019,0.42024873495997617
1996-11-01,4.4374684796758554,4.177189652369403,5.388622299097259
1996-12-01,-1.6368360239520539,-0.3888631251613799,-0.4882158482701095
1997-01-01,0.5192425700213422,3.950815780347236,4.303080513654215
1997-02-01,3.122158299756179,1.427586520136898,0.7168458634033822
1997-03-01,-0.899310086245934,-4.284926344528685,-4.0968671405592465
1997-04-01,-0.41541488261664133,2.0010786767593873,3.150199212781164
1997-05-01,5.164935101929162,6.1620714903041796,6.984686172523451
1997-06-01,4.11620410603747,6.15152461766212,4.4428013202319585
1997-07-01,1.8142884434489328,3.7412774228980767,6.230137955570098
1997-08-01,-0.21298147312182109,-1.9589577931215563,-2.817307703838936
1997-09-01,6.991560315270084,6.534936686642741,5.371412272279022
1997-10-01,-1.8387573910187953,-2.698463272796067,-4.210832865958168
1997-11-01,4.083203293400771,4.665546737554105,2.5418144557042
1997-12-01,-0.7074499688242086,3.687133999987413,1.6477368710901963
1998-01-01,1.2755892981133208,-0.19221868439127737,-0.5132818482538436
1998-02-01,3.006859967727435,6.013888703083104,7.152762301119323
1998-03-01,1.568677297292623,3.392717263814565,4.83557322373982
1998-04-01,2.301453484368964,0.21358982801636572,0.6435245108490599
1998-05-01,0.05851062003405848,-0.7831324826906226,-2.3826514059554675
1998-06-01,1.9137889348794388,2.649478882408186,1.194412869168792
1998-07-01,-3.003225708049608,-5.304290564224295,-4.493204091137101
1998-08-01,0.06336346114807329,-8.726777826388975,-15.811623744119562
1998-09-01,2.745486220747147,3.4798582592900127,4.121854501527884
1998-10-01,3.5800424205528265,5.018437739243698,8.419924786598015
1998-11-01,1.58375706051275,3.565469746389679,5.159056183163925
1998-12-01,4.874379615749125,1.5486628020292297,3.047729932264302
1999-01-01,-1.9338921923407018,-2.3512825966571453,0.4387035089442186
1999-02-01,-1.495088102669345,-3.1233859537680524,-3.2048487199821962
1999-03-01,2.786599765881819,3.847674259426625,2.4443139187602707
1999-04-01,3.9839288759416704,4.621954833528396,8.79170822209724
1999-05-01,1.0368398596191986,0.3351675542024595,-1.4432150135534048
1999-06-01,1.6683091462630886,0.7727487639155063,3.009356726519038
1999-07-01,1.0446196278743756,-2.5872742397090467,-3.735278330893454
1999-08-01,0.6568128186953114,-1.5015226810467595,-3.353578204836915
1999-09-01,-2.415320940980219,-3.882273428300991,-4.031136466003797
1999-10-01,-0.7442857221818432,1.2431733605555102,1.731439815812147
1999-11-01,-2.6642020613991653,-2.8164275916546955,0.634389457260422
1999-12-01,-0.31352009001667747,0.3564600638793897,4.126798106690314
2000-01-01,1.3194513893777708,-1.2951004642972774,-3.7648068591322015
2000-02-01,-0.8815840229613295,-2.903774896638729,-2.925613410714112
2000-03-01,1.3543895703024518,3.8935062890308925,7.915620362231129
2000-04-01,1.095093913080349,1.6522865977065664,0.12526003923617468
2000-05-01,0.9479830338215346,1.7620135986730043,-1.067904982890389
2000-06-01,-0.6127796246581864,-0.27253375448922934,-0.19040932797554713
2000-07-01,-2.5632956710132784,0.0075599145315561915,0.8843671899164013
2000-08-01,-1.5201120484760475,3.2256270482755083,5.461915699686975
2000-09-01,2.2261353027247046,3.8653712210232287,-1.6387981885441345
2000-10-01,-0.0359067131431301,0.8328041657029626,0.9731295842747537
2000-11-01,-0.2919215961184113,-0.31896822524783747,-3.0166231663146053
2000-12-01,3.152267200253828,5.581563525574208,6.1367763930859685
2001-01-01,0.6266207742076055,-1.9691400700886188,1.9513025840234755
2001-02-01,1.49010940042998,1.1819074436288122,-2.929963007977196
2001-03-01,-1.6834507336013471,-3.5254973361981756,-4.720805608814499
2001-04-01,-0.09803723191779934,2.459675774898195,6.277542003435857
2001-05-01,2.8231580587491303,3.820789450790275,2.615202956772356
2001-06-01,1.0672168732395726,-0.9063150055058816,-1.339517805069789
