yearmonth,Agric,Food ,Soda ,Beer ,Smoke,Toys ,Fun  ,Books,Hshld,Clths,Hlth ,MedEq,Drugs,Chems,Rubbr,Txtls,BldMt,Cnstr,Steel,FabPr,Mach ,ElcEq,Autos,Aero ,Ships,Guns ,Gold ,Mines,Coal ,Oil  ,Util ,Telcm,PerSv,BusSv,Hardw,Softw,Chips,LabEq,Paper,Boxes,Trans,Whlsl,Rtail,Meals,Banks,Insur,RlEst,Fin  ,Other
1995-01-01,7.89,2.01,6.2,2.82,4.59,0.1,7.85,0.25,2.69,-4.22,5.18,5.75,6.43,-2.74,-0.8,0.04,0.83,4.51,-6.05,4.71,-0.24,0.51,-6.09,0.25,-1.62,2.78,-10.95,-1.5,-0.58,0.38,6.21,4.16,0.16,0.18,-2.79,-1.73,0.96,1.73,-1.53,2.68,3.34,0.77,0.81,6.93,6.03,5.92,-2.27,3.91,4.32
1995-02-01,-5.12,1.43,5.11,4.86,-1.25,4.17,3.96,5.25,3.29,2.12,2.67,2.33,2.18,5.94,5.55,3.63,5.64,4.08,3.44,4.41,5.47,5.97,4.96,6.22,5.24,6.71,5.05,4.17,-6.35,4.5,0.82,1.51,3.53,5.83,5.29,7.64,8.04,5.95,8.66,6.05,7.31,5.12,2.06,3.49,6.67,2.08,6.73,6.31,-4.11
1995-03-01,6.12,3.62,1.73,2.43,5.91,2.12,4.65,1.34,1.89,2.26,5.46,6.25,1.78,5.66,3.53,-4.85,1.52,-2.67,2.24,5.71,5.84,-0.21,1.67,7.86,0.94,1.57,18.69,4.23,6.32,5.28,-1.75,0.25,6.65,2.83,5.45,6.31,3.17,4.15,2.17,6.52,3.19,2.2,4.01,2.22,0.48,2.28,1.18,0.75,3.17
1995-04-01,4.25,3.95,2.52,3.22,-4.33,-4.91,3.45,-2.38,3.78,-1.56,-2.68,3.42,3.82,3.09,-0.21,1.12,2.18,3.46,0.15,-3.42,4.81,3.03,2.52,4.16,-0.38,8.52,-2.86,-0.19,0.49,2.24,2.38,1.62,0.43,1.07,9.53,5.78,10.48,4.87,1.6,-4.13,2.66,3.1,-3.57,2.22,4.07,-2.03,-1.23,3.99,0.14
1995-05-01,1.94,3.49,-2.75,8.39,3.91,6.08,1.37,3.82,2.58,0.42,-5.0,0.71,2.78,3.14,3.68,4.16,1.64,5.43,1.67,5.24,3.14,3.39,5.48,6.05,-4.77,5.35,-0.32,-2.4,3.4,4.09,6.02,0.93,-4.22,-0.83,1.72,2.19,4.99,3.76,2.19,0.57,-0.56,1.98,2.82,3.81,8.12,4.47,5.71,3.98,5.27
1995-06-01,4.7,2.59,3.78,-0.12,-0.92,1.79,0.71,2.94,-0.21,3.06,1.84,6.65,4.49,1.34,1.34,1.35,4.51,0.74,6.63,0.46,3.43,-0.84,1.02,5.11,1.07,0.36,-0.67,2.09,4.01,-3.1,-0.45,3.89,8.6,3.21,8.13,10.52,12.62,7.43,3.96,4.14,4.35,4.37,5.15,2.72,1.45,0.95,5.02,4.85,4.1
1995-07-01,3.47,-1.0,-0.98,2.37,-3.6,4.63,3.99,3.43,-0.96,7.5,10.39,6.7,4.49,2.87,5.76,3.64,2.01,6.21,6.47,7.01,7.97,4.05,2.41,6.25,11.4,0.88,2.03,10.42,-1.23,2.32,-0.37,5.04,2.43,4.5,8.53,6.09,9.59,4.98,2.72,-2.14,9.21,3.13,4.09,1.9,4.77,3.01,4.15,5.03,8.12
1995-08-01,3.35,1.14,5.83,-1.61,4.5,0.71,-0.55,2.29,0.8,0.86,-0.29,3.92,0.7,-0.36,1.98,-1.35,0.31,3.78,-0.06,-0.42,-1.28,-0.03,0.33,-1.62,3.1,-0.39,2.29,-1.77,4.18,-1.59,0.99,4.4,4.09,2.46,0.57,-0.09,-0.82,0.25,1.02,-0.74,0.49,-1.17,-3.47,-3.16,5.24,5.44,-0.32,4.63,-5.33
1995-09-01,7.92,8.25,5.4,9.22,2.97,-3.02,-1.34,2.34,5.42,3.51,2.6,8.27,7.99,2.76,-2.22,-2.17,3.36,-0.72,-4.11,-0.78,-3.16,6.51,-0.39,5.58,1.6,4.17,-0.89,1.51,1.98,1.31,6.27,5.77,5.46,4.96,0.56,1.59,1.64,1.71,0.67,-11.14,2.74,0.39,3.35,2.66,5.54,6.56,3.83,4.64,-3.03
1995-10-01,2.86,0.1,5.29,3.91,2.84,-5.83,-2.18,-2.59,2.77,-3.87,-3.17,-1.65,2.26,-5.55,-3.91,-8.57,-1.73,0.36,-5.94,-3.93,-3.6,-0.5,-5.39,-1.77,-4.09,-5.67,-12.78,-5.42,-13.2,-0.24,1.48,0.15,-0.85,-0.5,6.57,5.29,-5.03,-1.12,-2.3,-8.21,-1.72,-0.93,-8.15,1.18,-2.29,-1.04,-4.29,-2.78,-3.67
1995-11-01,5.57,3.83,6.26,4.81,3.06,4.5,1.19,7.54,6.23,0.59,6.09,3.43,5.13,6.53,6.08,6.85,4.85,4.26,8.11,4.35,5.24,5.55,5.42,9.09,5.47,9.96,12.44,5.32,-0.93,4.79,1.58,2.8,6.01,5.44,-0.11,1.04,-4.26,4.53,5.86,14.01,6.2,3.07,6.93,5.64,7.12,7.44,-4.95,3.9,3.55
